
#CONTENT 
Class,Category,Level,Form 
WOUDC,OzoneSonde,1,1

#DATA_GENERATION 
Date,Agency,Version,ScientificAuthority 
2019-04-27,EIMO,1,Juan Crespo

#PLATFORM 
Type,ID,Name,Country,GAW_ID
STN,441,Easter Island,CHL,EIC

#INSTRUMENT 
Name,Model,Number 
ECC,6A,na

#LOCATION 
Latitude,Longitude,Height 
-27.17,-109.42,49.9
 
#TIMESTAMP 
UTCOffset,Date,Time 
+00:00:00,2019-04-27,00:19:00
 
#PROFILE 
Pressure,O3PartialPressure,Temperature,RelativeHumidity,WindDirection,WindSpeed,GPHeight
815.8,2.1,14.2,38.2,8.5,4.4,1920.8
815.2,2.1,14.2,38.3,8.9,4.6,1926.9
814.7,2.1,14.2,39.1,9.2,4.9,1932.3
814.2,2.1,14.1,39.9,9.5,5.1,1937
813.9,2.1,14.1,40.3,9.8,5.3,1941.2
813.5,2.1,14,40.3,10.1,5.6,1945.1
813.1,2.1,14,40.7,10.2,5.8,1949
812.7,2.1,13.9,41.3,10.4,5.9,1952.9
812.3,2.1,13.9,41.7,10.4,6.1,1956.8
812,2.1,13.9,41.9,10.4,6.3,1960.5
811.6,2.1,13.8,42,10.4,6.4,1964.4
811.2,2.1,13.8,42.4,10.2,6.5,1968.5
810.8,2.1,13.8,43.1,10,6.6,1972.5
810.5,2.1,13.8,43.1,9.8,6.7,1976.6
810,2.1,13.8,42.2,9.4,6.7,1980.8
809.6,2.1,13.8,40.9,9,6.7,1985.4
809.2,2.1,13.9,40.1,8.5,6.7,1990.2
808.7,2.1,13.9,40,7.9,6.7,1995.1
808.2,2,13.8,39.9,7.3,6.6,1999.8
807.8,2,13.8,39.9,6.6,6.5,2004.4
807.4,2,13.8,40,5.8,6.4,2008.7
807,2,13.8,40.3,4.9,6.3,2012.9
806.6,2,13.7,40.6,3.9,6.2,2016.9
806.2,2,13.7,40.9,2.9,6,2020.9
805.8,2,13.7,41.1,1.7,5.9,2024.9
805.4,2,13.6,41.1,0.5,5.7,2029.1
805,2,13.6,40.9,359.2,5.5,2033.5
804.5,2,13.6,40.7,357.8,5.4,2038.1
804.1,2,13.6,40.9,356.4,5.2,2042.8
803.7,1.9,13.6,42,354.9,5,2047.5
803.2,1.9,13.6,42.2,353.3,4.8,2052.2
